case_id,query,reference,expected,strategy,method,answer,latency_s,doc_context,graph_context,em,f1,rouge_l,semantic_similarity,key_precision,key_recall
Q04,井下2名作业人员失联且对讲机无响应，搜救行动应如何分组并保证救援队安全？,立即核对人数并上报调度，分组搜救，保持通信，设警戒并安排安全监护。,"['人员失联', '核对人数', '上报调度', '组织救援', '保持通信', '设置警戒', '安全员']",vector_rag,纯向量RAG,"风险判断：失联区域可能存在有毒有害气体、冒顶或通风中断，救援队面临窒息、中毒及二次事故风险。  
依据：规程第七百六十六条要求救援小队不少于6人，严禁单独行动，且必须检查氧气呼吸器压力不低于18MPa。  
处置动作：立即组建不少于6人的救护小队，分组时确保每组人员可视可听，携带气体检测仪，沿避灾路线搜索并实时监测环境。  
责任分工：带队指挥员负责决策与联络，急救员监测队员状态，待机小队在井下基地待命，确保氧气余量不低于5MPa时撤离。",62.454,"[1] 来源：煤矿安全规程2025.pdf；片段：第七百六十四条-753；得分：0.8281
第七百六十四条 矿山救护队在救援过程中遇到突发情况、 危及救援人员生命安全时,带队指挥员有权作出撤出危险区域的 决定,并及时报告井下基地及救援指挥部. 第六章 灾变处理

[2] 来源：煤矿安全规程2025.pdf；片段：第七百三十六条-725；得分：0.7889
第七百三十六条 煤矿作业人员必须熟悉应急救援预案和避 灾路线,具有自救互救和安全避险知识.井下作业人员必须熟练 掌握自救器和紧急避险设施的使用方法. 班组长应当具备兼职救护队员的知识和能力,能够在发生险 情后第一时间组织作业人员自救互救和安全避险. 外来人员必须经过安全和应急基本知识培训,掌握自救器使 用方法,并签字确认后方可入井.

[3] 来源：煤矿安全规程2025.pdf；片段：第七百六十六条-755；得分：0.7871
第七百六十六条 进入灾区的救护小队,应急救援人员不得 少于６人,必须保持在彼此能看到或者听到信号的范围内行动,任 何情况下严禁任何应急救援人员单独行动.所有应急救援人员进 入前必须检查氧气呼吸器,氧气压力不得低于１８MPa;使用过程 中应当注意观察氧气呼吸器的氧气压力,在返回到井下基地时应 当至少保留５MPa压力的氧气余量.发现有应急救援人员身体不 适或者氧气呼吸器发生故障难以排除时,全小队必须立即撤出. 应急 救 援 人 员 在 灾 区 工 作 １ 个 呼 吸 器 班 后,应 当 至 少 休 息８h.

[4] 来源：煤矿安全规程2025.pdf；片段：第七百六十三条-752；得分：0.7857
第七百六十三条 在重特大事故或者复杂事故救援现场,应 当设立地面基地和井下基地,安排矿山救护队指挥员、待机小队和 急救员值班,设置通往救援指挥部和灾区的电话,配备必要的救护 装备和器材. 地面基地应当设置在靠近井口的安全地点,配备气体分析化 验设备等相关装备. 井下基地应当设置在靠近灾区的安全地点,设专人看守电话 ５ — ８ — ２ 并做好记录,保持与救援指挥部、灾区工作救护小队的联络.指派 专人检测风流、有害气体浓度及巷道支护等情况.",,0.2857,0.25,0.0898,0.5653,0.2222,0.2857
Q04,井下2名作业人员失联且对讲机无响应，搜救行动应如何分组并保证救援队安全？,立即核对人数并上报调度，分组搜救，保持通信，设警戒并安排安全监护。,"['人员失联', '核对人数', '上报调度', '组织救援', '保持通信', '设置警戒', '安全员']",hybrid_graph,混合图检索策略,"风险判断：失联区域可能存在瓦斯积聚、冒顶或有害气体超标，威胁救援人员安全。  
依据：规程第七百六十六条要求救援小队不少于6人，严禁单独行动，且须保持通信联络。  
处置动作：搜救行动应分组为至少6人小队，携带完好氧气呼吸器（压力≥18MPa）和应急通信设备，保持可视或可听联络。  
责任分工：矿山救护队指挥员负责现场决策与撤离指挥，井下基地值班员负责联络协调与气体监测。",2.468,"[1] 来源：煤矿安全规程2025.pdf；片段：第七百六十四条-753；得分：0.8281
第七百六十四条 矿山救护队在救援过程中遇到突发情况、 危及救援人员生命安全时,带队指挥员有权作出撤出危险区域的 决定,并及时报告井下基地及救援指挥部. 第六章 灾变处理

[2] 来源：煤矿安全规程2025.pdf；片段：第七百三十六条-725；得分：0.7889
第七百三十六条 煤矿作业人员必须熟悉应急救援预案和避 灾路线,具有自救互救和安全避险知识.井下作业人员必须熟练 掌握自救器和紧急避险设施的使用方法. 班组长应当具备兼职救护队员的知识和能力,能够在发生险 情后第一时间组织作业人员自救互救和安全避险. 外来人员必须经过安全和应急基本知识培训,掌握自救器使 用方法,并签字确认后方可入井.

[3] 来源：煤矿安全规程2025.pdf；片段：第七百六十六条-755；得分：0.7871
第七百六十六条 进入灾区的救护小队,应急救援人员不得 少于６人,必须保持在彼此能看到或者听到信号的范围内行动,任 何情况下严禁任何应急救援人员单独行动.所有应急救援人员进 入前必须检查氧气呼吸器,氧气压力不得低于１８MPa;使用过程 中应当注意观察氧气呼吸器的氧气压力,在返回到井下基地时应 当至少保留５MPa压力的氧气余量.发现有应急救援人员身体不 适或者氧气呼吸器发生故障难以排除时,全小队必须立即撤出. 应急 救 援 人 员 在 灾 区 工 作 １ 个 呼 吸 器 班 后,应 当 至 少 休 息８h.

[4] 来源：煤矿安全规程2025.pdf；片段：第七百六十三条-752；得分：0.7857
第七百六十三条 在重特大事故或者复杂事故救援现场,应 当设立地面基地和井下基地,安排矿山救护队指挥员、待机小队和 急救员值班,设置通往救援指挥部和灾区的电话,配备必要的救护 装备和器材. 地面基地应当设置在靠近井口的安全地点,配备气体分析化 验设备等相关装备. 井下基地应当设置在靠近灾区的安全地点,设专人看守电话 ５ — ８ — ２ 并做好记录,保持与救援指挥部、灾区工作救护小队的联络.指派 专人检测风流、有害气体浓度及巷道支护等情况.","[1] 储备必要的应急救援装备及物资 -> REQUIRES -> 应急通信装备（第七百五十八条；证据：重点加强应急通信装备的储备）
[2] 专职救护队 -> REQUIRES -> 通信设备（第七百五十六条；证据：专职救护队应当配备通信装备）
[3] 兼职救护队 -> REQUIRES -> 通信设备（第七百五十六条；证据：兼职救护队应当配备通信装备）
[4] 煤矿作业人员 -> REQUIRES -> 熟悉应急救援预案和避灾路线（第七百三十六条；证据：煤矿作业人员必须熟悉应急救援预案和避灾路线）
[5] 小队长 -> PERFORMED_BY -> 组织作业人员自救互救和安全避险（第七百三十六条；条件：after_incident；证据：班组长应当具备兼职救护队员的知识和能力,能够在发生险情后第一时间组织作业人员自救互救和安全避险）",0.4286,0.375,0.1043,0.5784,0.3333,0.4286
Q05,瓦斯超限同时出现烟雾和停电迹象，系统应如何整合规程、图谱关系和历史信息给出处置建议？,按瓦斯与火灾叠加风险处置，停工断电撤人，加强通风复测，并组织多部门联动。,"['瓦斯超限', '火灾', '复合风险', '停止作业', '切断电源', '撤离人员', '加强通风', '复测', '协同联动']",pure_llm,纯LLM,"风险判断：瓦斯超限伴随烟雾和停电，存在瓦斯爆炸或火灾重大风险，需立即响应。  
依据：瓦斯浓度超限易引发爆炸，烟雾提示潜在火源，停电可能加剧通风失效，三者叠加风险极高。  
处置动作：立即启动应急预案，切断电源，撤出人员，启用备用通风，封闭危险区域，并实时监测瓦斯与烟雾变化。  
责任分工：矿长指挥，通风部门控风，安全员监测，电工排查供电，救护队待命，确保信息同步与协同处置。",2.134,,,0.8889,0.6957,0.213,0.7226,0.5714,0.8889
Q05,瓦斯超限同时出现烟雾和停电迹象，系统应如何整合规程、图谱关系和历史信息给出处置建议？,按瓦斯与火灾叠加风险处置，停工断电撤人，加强通风复测，并组织多部门联动。,"['瓦斯超限', '火灾', '复合风险', '停止作业', '切断电源', '撤离人员', '加强通风', '复测', '协同联动']",vector_rag,纯向量RAG,"风险判断：瓦斯超限伴随烟雾和停电，存在瓦斯爆炸、火灾及窒息多重高风险。  
依据：规程第770条要求立即切断电源并检测有害气体，第205条强调瓦斯抽采中需监测CO与温度以防自燃。  
处置动作：立即断电、撤出人员，启动应急通风，利用图谱定位火源与瓦斯积聚区，结合历史瓦斯数据评估爆炸风险。  
责任分工：矿长指挥应急响应，通风部门检测气体与恢复通风，救护队进入侦查，技术组分析历史数据辅助决策。",1.74,"[1] 来源：煤矿安全规程2025.pdf；片段：第二百零五条-204；得分：0.8718
第二百零五条 抽采瓦斯必须遵守下列规定: (一)抽采容易自燃和自燃煤层的采空区瓦斯时,抽采管路应 当安设一氧化碳、甲烷、温度传感器,实现实时监测监控.发现有 自然发火预兆时,应当立即采取措施. (二)井上下敷设的瓦斯管路,不得与非本质安全型带电物体 接触,并应当有防止砸坏管路的措施. (三)采用干式抽采瓦斯设备时,必须具有自动监控瓦斯浓度 功能的装置,进入抽采泵的瓦斯浓度必须高于２５％或者低于２％、 煤尘浓度不得高于１g/m ３,否则不得使用干式抽采.采用干式抽 采必须由煤矿企业技术负责人审批. (四)在抽采泵出气侧管路及利用瓦斯的系统中必须装设有防 回火、防回流和防爆炸作用的安全装置. (五)瓦斯利用应当按照国家相关规定执行. 第二节 煤尘爆炸防治

[2] 来源：煤矿安全规程2025.pdf；片段：第七百七十条-759；得分：0.8468
第七百七十条 处理瓦斯(煤尘)爆炸事故时,应当遵守下列 规定: (一)立即切断灾区电源. (二)检查灾区内有害气体的浓度、温度及通风设施破坏情况, 发现有再次爆炸危险时,必须立即撤离至安全地点. (三)进入灾区行动要谨慎,防止碰撞产生火花,引起爆炸. (四)经探察确认或者分析认定人员已经遇难,并且没有火源 时,必须先恢复灾区通风,再进行处理.

[3] 来源：煤矿安全规程2025.pdf；片段：第一百八十九条-189；得分：0.8447
第一百八十九条 每２年必须对低瓦斯矿井进行瓦斯等级和 二氧化碳涌出量的鉴定工作,鉴定结果报省级煤矿安全监管部门、 煤炭行业管理部门和驻地矿山安全监察机构.上报时应当包括开 采煤层最短自然发火期和自燃倾向性、煤尘爆炸性的鉴定结果. 高瓦斯、突出矿井不再进行周期性瓦斯等级鉴定工作,但应当每年 测定和计算矿井、采区、工作面瓦斯和二氧化碳涌出量,并报省级 煤矿安全监管部门、煤炭行业管理部门和驻地矿山安全监察机构. 高瓦斯 矿 井 应 当 测 定 已 开 拓 各 采 (盘)区 开 采 煤 层 及 厚 度 ０．３m以上的邻近煤层(距开采煤层上方８倍煤厚的煤层和下方 ２０m 的煤层)的瓦斯基本参数,包括瓦斯含量、瓦斯压力、瓦斯吸 附常数、瓦斯放散初速度、煤的坚固性系数,以及开采煤层的抽采 半径等. 新建矿井设计文件中,应当有厚度０．３m 以上煤层的瓦斯含 量资料.

[4] 来源：煤矿安全规程2025.pdf；片段：第一百九十五条-194；得分：0.8386
第一百九十五条 修复旧井巷时,必须首先检查瓦斯.当瓦 斯积聚时,必须按照规定排放,只有在回风流中甲烷浓度不超过 １．０％、二氧化碳浓度不超过１．５％、空气成分符合本规程第一百 五十六条的要求时,才能作业.",,0.6667,0.6316,0.1696,0.7091,0.6,0.6667
Q05,瓦斯超限同时出现烟雾和停电迹象，系统应如何整合规程、图谱关系和历史信息给出处置建议？,按瓦斯与火灾叠加风险处置，停工断电撤人，加强通风复测，并组织多部门联动。,"['瓦斯超限', '火灾', '复合风险', '停止作业', '切断电源', '撤离人员', '加强通风', '复测', '协同联动']",hybrid_graph,混合图检索策略,"风险判断：瓦斯超限伴随烟雾和停电，存在瓦斯爆炸与火灾复合风险。  
依据：规程第七百七十条要求切断电源防爆炸，第二百零五条强调瓦斯抽采监测防自燃，图谱显示瓦斯超限需停电撤人。  
处置动作：立即切断电源，停止作业，撤出人员，启动瓦斯抽采并监测CO、温度，排查火源。  
责任分工：矿长指挥应急响应，通风部门监测气体，机电部门保障断电，救护队现场处置。",2.124,"[1] 来源：煤矿安全规程2025.pdf；片段：第二百零五条-204；得分：0.8718
第二百零五条 抽采瓦斯必须遵守下列规定: (一)抽采容易自燃和自燃煤层的采空区瓦斯时,抽采管路应 当安设一氧化碳、甲烷、温度传感器,实现实时监测监控.发现有 自然发火预兆时,应当立即采取措施. (二)井上下敷设的瓦斯管路,不得与非本质安全型带电物体 接触,并应当有防止砸坏管路的措施. (三)采用干式抽采瓦斯设备时,必须具有自动监控瓦斯浓度 功能的装置,进入抽采泵的瓦斯浓度必须高于２５％或者低于２％、 煤尘浓度不得高于１g/m ３,否则不得使用干式抽采.采用干式抽 采必须由煤矿企业技术负责人审批. (四)在抽采泵出气侧管路及利用瓦斯的系统中必须装设有防 回火、防回流和防爆炸作用的安全装置. (五)瓦斯利用应当按照国家相关规定执行. 第二节 煤尘爆炸防治

[2] 来源：煤矿安全规程2025.pdf；片段：第七百七十条-759；得分：0.8468
第七百七十条 处理瓦斯(煤尘)爆炸事故时,应当遵守下列 规定: (一)立即切断灾区电源. (二)检查灾区内有害气体的浓度、温度及通风设施破坏情况, 发现有再次爆炸危险时,必须立即撤离至安全地点. (三)进入灾区行动要谨慎,防止碰撞产生火花,引起爆炸. (四)经探察确认或者分析认定人员已经遇难,并且没有火源 时,必须先恢复灾区通风,再进行处理.

[3] 来源：煤矿安全规程2025.pdf；片段：第一百八十九条-189；得分：0.8447
第一百八十九条 每２年必须对低瓦斯矿井进行瓦斯等级和 二氧化碳涌出量的鉴定工作,鉴定结果报省级煤矿安全监管部门、 煤炭行业管理部门和驻地矿山安全监察机构.上报时应当包括开 采煤层最短自然发火期和自燃倾向性、煤尘爆炸性的鉴定结果. 高瓦斯、突出矿井不再进行周期性瓦斯等级鉴定工作,但应当每年 测定和计算矿井、采区、工作面瓦斯和二氧化碳涌出量,并报省级 煤矿安全监管部门、煤炭行业管理部门和驻地矿山安全监察机构. 高瓦斯 矿 井 应 当 测 定 已 开 拓 各 采 (盘)区 开 采 煤 层 及 厚 度 ０．３m以上的邻近煤层(距开采煤层上方８倍煤厚的煤层和下方 ２０m 的煤层)的瓦斯基本参数,包括瓦斯含量、瓦斯压力、瓦斯吸 附常数、瓦斯放散初速度、煤的坚固性系数,以及开采煤层的抽采 半径等. 新建矿井设计文件中,应当有厚度０．３m 以上煤层的瓦斯含 量资料.

[4] 来源：煤矿安全规程2025.pdf；片段：第一百九十五条-194；得分：0.8386
第一百九十五条 修复旧井巷时,必须首先检查瓦斯.当瓦 斯积聚时,必须按照规定排放,只有在回风流中甲烷浓度不超过 １．０％、二氧化碳浓度不超过１．５％、空气成分符合本规程第一百 五十六条的要求时,才能作业.","[1] 第一百九十六条 -> CONTAINS -> 瓦斯超限（第一百九十六条；证据：当瓦斯超限达到断电浓度时）
[2] 瓦斯超限 -> APPLIES_TO -> 停电撤人（第一百九十六条；条件：瓦斯浓度达到断电浓度；证据：停电撤人）
[3] 瓦斯超限 -> APPLIES_TO -> 停机闭锁（第一百九十六条；条件：瓦斯浓度达到断电浓度；证据：有权责令现场作业人员停止作业）
[4] 将瓦斯送至永久抽采系统管路 -> IF -> 矿井抽采系统瓦斯浓度符合规程第二百零五条（第二百零四条；证据：在建有地面永久抽采系统的矿井,临时泵站抽出的瓦斯可以送至永久抽采系统的管路,但矿井抽采系统的瓦斯浓度必须符合本规程第二百零五条的规定）
[5] 高瓦斯矿井 -> IF -> 监控数据接入安全监控系统（第五百三十九条；证据：高瓦斯、突出矿井采煤机机载断电仪的甲烷浓度以及采煤机开停等监控数据应当接入安全监控系统）",0.8889,0.7273,0.2079,0.748,0.6154,0.8889
Q06,泵房水位持续上升并伴随排水能力下降，调度室应如何组织处置？,按水害风险处置，立即上报调度，检查并加强排水，设警戒，必要时撤人复查。,"['水害', '水位异常', '上报调度', '排水', '设置警戒', '撤离人员', '复查']",pure_llm,纯LLM,"风险判断：泵房水位持续上升且排水能力下降，存在淹井或设备损坏重大风险。  
依据：排水系统异常可能由水泵故障、管路堵塞或供电问题导致，需立即排查。  
处置动作：调度室立即通知井下撤人，启动应急预案，组织机电、排水人员现场抢修，启用备用泵或临时排水设备。  
责任分工：调度室统一指挥，机电部门负责设备检修，排水队执行排水作业，安全员监督撤人及现场安全。",1.166,,,0.7143,0.6667,0.1675,0.7772,0.625,0.7143
Q06,泵房水位持续上升并伴随排水能力下降，调度室应如何组织处置？,按水害风险处置，立即上报调度，检查并加强排水，设警戒，必要时撤人复查。,"['水害', '水位异常', '上报调度', '排水', '设置警戒', '撤离人员', '复查']",vector_rag,纯向量RAG,"风险判断：泵房水位持续上升且排水能力下降，存在淹井或设备损坏重大风险。  
依据：规程第三百一十五条要求备用水泵能力不小于工作水泵70%，且总排水能力需满足最大涌水量20小时排出。  
处置动作：调度室立即启动应急预案，切换备用水泵及备用管路，启用备用电源，并通知检修人员排查故障。  
责任分工：调度室负责指挥协调，机电部门负责设备切换与抢修，安全部门监督措施落实，确保排水系统恢复。",1.819,"[1] 来源：煤矿安全规程2025.pdf；片段：第六百四十九条-640；得分：0.9016
第六百四十九条 用露天采场深部作储水池排水时,必须采 取安全措施,备用水泵的能力不得小于工作水泵能力的５０％.

[2] 来源：煤矿安全规程2025.pdf；片段：第三百一十五条-313；得分：0.8765
第三百一十五条 矿井应当配备与矿井涌水量相匹配的水 泵、排水管路、配电设备和水仓等,并满足矿井排水的需要.除正 在检修的水泵外,应当有工作水泵和备用水泵.工作水泵的能力, 应当能在２０h内排出矿井２４h的正常涌水量(包括充填水及其他 用水).备用水泵的能力,应当不小于工作水泵能力的７０％.检 修水泵的能力,应当不小于工作水泵能力的２５％.工作和备用水 泵的总能力,应当能在２０h内排出矿井２４h的最大涌水量. 排水管路应当有工作管路和备用管路.工作管路的能力,应 当满足工作水泵在２０h内排出矿井２４h的正常涌水量.工作和备 用管路的总能力,应当满足工作和备用水泵在 ２０h 内排出矿井 ２４h的最大涌水量. 配电设备的能力应当与工作、备用和检修水泵的总能力相匹 配,能够保证全部水泵同时运转.

[3] 来源：煤矿安全规程2025.pdf；片段：第一百零五条-106；得分：0.8686
第一百零五条 井筒开凿到底后,应当先施工永久排水系统, 并在进入采区施工前完成.永久排水系统完成前,在井底附近必 ４ — — ３ 须设置临时排水系统,并符合下列要求: (一)当预计涌水量不大于５０m ３/h时,临时水仓容积应当大 于４h正常涌水量;当预计涌水量大于５０m ３/h时,临时水仓容积 应当大于８h正常涌水量.临时水仓应当定期清理. (二)井下工作水泵的排水能力应当能在２０h内排出２４h正常 涌水 量,井 下 备 用 水 泵 排 水 能 力 不 小 于 工 作 水 泵 排 水 能 力 的７０％. (三)临时排水管的型号应当与排水能力相匹配. (四)临 时 水 泵 及 配 电 设 备 基 础 应 当 比 巷 道 底 板 至 少 高 ３００mm,泵房断面应当满足设备布置需要. 第一 百 零 六 条 立 井 凿 井 期 间 的 局 部 通 风 应 当 遵 守 下 列 规定: (一)局部通风机的安装位置距井口不得小于２０m,且位于井 口主导风向上风侧. (二)局部通风机的安装和使用必须满足本规程第一百八十三 条的要求. (三)立井施工应当在井口预留专用回风口,以确保风流畅通, 回风口的大小及安全防护措施应当在作业规程中明确.

[4] 来源：煤矿安全规程2025.pdf；片段：第六百五十五条-646；得分：0.855
第六百五十五条 采场内的主排水泵站必须设置备用电源, 当供电线路发生故障时,备用电源必须能担负最大排水负荷.",,0.7143,0.625,0.137,0.6924,0.5556,0.7143
Q06,泵房水位持续上升并伴随排水能力下降，调度室应如何组织处置？,按水害风险处置，立即上报调度，检查并加强排水，设警戒，必要时撤人复查。,"['水害', '水位异常', '上报调度', '排水', '设置警戒', '撤离人员', '复查']",hybrid_graph,混合图检索策略,"风险判断：泵房水位持续上升且排水能力下降，存在淹井或设备损坏重大风险。  
依据：规程第三百一十五条要求备用水泵能力不低于工作泵的70%，第六百五十五条明确主排水泵站须设备用电源。  
处置动作：调度室立即启动应急预案，切换备用水泵及备用电源，并通知井下撤人。  
责任分工：调度室负责指挥协调，机电部门负责设备切换，安监部门监督撤人，排水系统维护单位排查故障。",2.162,"[1] 来源：煤矿安全规程2025.pdf；片段：第六百四十九条-640；得分：0.9016
第六百四十九条 用露天采场深部作储水池排水时,必须采 取安全措施,备用水泵的能力不得小于工作水泵能力的５０％.

[2] 来源：煤矿安全规程2025.pdf；片段：第三百一十五条-313；得分：0.8765
第三百一十五条 矿井应当配备与矿井涌水量相匹配的水 泵、排水管路、配电设备和水仓等,并满足矿井排水的需要.除正 在检修的水泵外,应当有工作水泵和备用水泵.工作水泵的能力, 应当能在２０h内排出矿井２４h的正常涌水量(包括充填水及其他 用水).备用水泵的能力,应当不小于工作水泵能力的７０％.检 修水泵的能力,应当不小于工作水泵能力的２５％.工作和备用水 泵的总能力,应当能在２０h内排出矿井２４h的最大涌水量. 排水管路应当有工作管路和备用管路.工作管路的能力,应 当满足工作水泵在２０h内排出矿井２４h的正常涌水量.工作和备 用管路的总能力,应当满足工作和备用水泵在 ２０h 内排出矿井 ２４h的最大涌水量. 配电设备的能力应当与工作、备用和检修水泵的总能力相匹 配,能够保证全部水泵同时运转.

[3] 来源：煤矿安全规程2025.pdf；片段：第一百零五条-106；得分：0.8686
第一百零五条 井筒开凿到底后,应当先施工永久排水系统, 并在进入采区施工前完成.永久排水系统完成前,在井底附近必 ４ — — ３ 须设置临时排水系统,并符合下列要求: (一)当预计涌水量不大于５０m ３/h时,临时水仓容积应当大 于４h正常涌水量;当预计涌水量大于５０m ３/h时,临时水仓容积 应当大于８h正常涌水量.临时水仓应当定期清理. (二)井下工作水泵的排水能力应当能在２０h内排出２４h正常 涌水 量,井 下 备 用 水 泵 排 水 能 力 不 小 于 工 作 水 泵 排 水 能 力 的７０％. (三)临时排水管的型号应当与排水能力相匹配. (四)临 时 水 泵 及 配 电 设 备 基 础 应 当 比 巷 道 底 板 至 少 高 ３００mm,泵房断面应当满足设备布置需要. 第一 百 零 六 条 立 井 凿 井 期 间 的 局 部 通 风 应 当 遵 守 下 列 规定: (一)局部通风机的安装位置距井口不得小于２０m,且位于井 口主导风向上风侧. (二)局部通风机的安装和使用必须满足本规程第一百八十三 条的要求. (三)立井施工应当在井口预留专用回风口,以确保风流畅通, 回风口的大小及安全防护措施应当在作业规程中明确.

[4] 来源：煤矿安全规程2025.pdf；片段：第六百五十五条-646；得分：0.855
第六百五十五条 采场内的主排水泵站必须设置备用电源, 当供电线路发生故障时,备用电源必须能担负最大排水负荷.","[1] 分区建设排水系统 -> REQUIRES -> 疏干泵房（第三百一十九条；条件：排水能力根据分区预测的正常和最大涌水量计算配备；证据：排水能力根据分区预测的正常和最大涌水量计算配备）
[2] 设置摄像仪 -> APPLIES_TO -> 抽采瓦斯泵房、主要通风机房、提升机房、调度室（第五百四十八条；证据：(七)抽采瓦斯泵房、主要通风机房、提升机房、调度室）
[3] 第三百二十九条 -> CONTAINS -> 定时观测排水量、水位和观测孔水位（第三百二十九条；条件：during_drainage；证据：排水过程中,应当定时观测排水量、水位和观测孔水位）
[4] 抽采瓦斯泵房 -> REQUIRES -> 监测预警系统（第二百零三条；证据：泵房必须有直通矿调度室的电话和检测管道瓦斯浓度、流量、压力等参数的仪表或者自动监测系统）
[5] 供电中断 -> APPLIES_TO -> 提供不少于两回路供电（第四百七十四条；条件：井下各水平中央变(配)电所、采(盘)区变(配)电所、主排水泵房、下山开采采区排水泵房；证据：对井下各水平中央变(配)电所和采(盘)区变(配)电所、主排水泵房和下山开采的采区排水泵房供电线路,不得少于两回路）",0.7143,0.6667,0.1546,0.6885,0.625,0.7143
Q07,封闭火区附近监测异常并伴随回风温度升高，应如何安排复查与警戒？,按火区复燃风险处置，限制进入，设警戒，组织复查并持续监测，报告调度。,"['火灾', '高温', '设置警戒', '限制进入', '复查', '持续监测', '上报调度']",pure_llm,纯LLM,"风险判断：存在复燃或瓦斯积聚风险，可能引发火灾或爆炸。  
依据：封闭火区温度升高及监测异常表明内部燃烧未完全熄灭或存在漏风供氧。  
处置动作：立即加强气体浓度与温度监测频次，组织专业队伍进行密闭墙检查与钻孔探查，确认火情状态。  
责任分工：由矿总工程师牵头，通风部门负责监测与数据分析，救护队实施现场探查，安全部门设置警戒并管控人员进出。",1.667,,,0.7143,0.5556,0.1421,0.8045,0.4545,0.7143
Q07,封闭火区附近监测异常并伴随回风温度升高，应如何安排复查与警戒？,按火区复燃风险处置，限制进入，设警戒，组织复查并持续监测，报告调度。,"['火灾', '高温', '设置警戒', '限制进入', '复查', '持续监测', '上报调度']",vector_rag,纯向量RAG,"风险判断：封闭火区附近监测异常且回风温度升高，存在复燃或爆炸风险。  
依据：规程第二百八十四条要求启封火区时需监测回风流中CO、CH₄浓度及温度，发现复燃征兆须立即停风并重新封闭。  
处置动作：立即停止向火区送风，由矿山救护队逐段恢复通风并连续监测气体与温度，确认安全前严禁作业。  
责任分工：矿山救护队负责启封、初期通风及复查；矿调度室组织人员撤离，区队配合执行警戒与监测任务。",1.903,"[1] 来源：煤矿安全规程2025.pdf；片段：第二百八十四条-282；得分：0.9116
第二百八十四条 启封已熄灭的火区前,必须制定安全措施. 启封火区时,应当逐段恢复通风,同时测定回风流中的一氧化 碳、甲烷浓度和风流温度.发现复燃征兆时,必须立即停止向火区 送风,并重新封闭火区. 启封火区和恢复火区初期通风等工作,必须由矿山救护队负 责进行,火区回风风流所经过巷道中的人员必须全部撤出. 在启封火区工作完毕后的３天内,每班必须由矿山救护队检 查通风工作,并测定水温、空气温度和空气成分.只有在确认火区 完全熄灭、通风等情况良好后,方可进行生产工作.

[2] 来源：煤矿安全规程2025.pdf；片段：第二百七十八条-276；得分：0.8243
第二百七十八条 封闭火区时,应当合理确定封闭范围,必须 检测甲烷、氧气、一氧化碳、二氧化碳、乙烯、乙炔、煤尘浓度和风 向、风量的变化,并采取防止瓦斯、煤尘爆炸和人员窒息、中毒的安 全措施. 封闭有爆炸性危险火区时,应当遵守下列规定: (一)优先采用地面钻孔注浆封闭或者井下远距离控制设备封 闭的措施. (二)严禁在火区的采煤工作面进回风巷内封闭,封闭地点应 当选择在距离火区位置较远的巷道. (三)封闭火区前,封闭所需要的设备设施材料提前准备到位, 撤出全部与封闭施工无关的人员. ７ — ０ — １ (四)封闭火区时,首先建造临时密闭,撤出人员,远距离监测 风向、风量、烟雾和气体组分等参数,稳定２４h以上并确认无爆炸 危险后,再施工隔爆墙,最后施工永久密闭. (五)火区封闭后,只有在采取惰化火区等措施,稳定４８h以 上,经评 估 无 爆 炸 危 险 后,方 可 恢 复 井 下 不 受 火 区 影 响 区 域 的 作业. 火区密闭被爆炸破坏的,只有确认不再发生爆炸的前提下才 能远距离探查.经探查确定合理的火区封闭区域,并按照上述规 定进行火区封闭. 第四节 井下火区管理

[3] 来源：煤矿安全规程2025.pdf；片段：第二百七十七条-275；得分：0.8028
第二百七十七条 任何人发现井下火灾时,视火灾性质、灾区 通风和瓦斯情况,尽可能直接灭火或者控制火势,并迅速报告矿调 度室.矿调度室在接到井下火灾报告后,应当立即按照灾害预防 和处理计划通知有关人员组织抢救灾区人员和实施灭火工作. 矿值班调度和在现场的区、队、班组长应当依照灾害预防和处 理计划的规定,将所有可能受火灾威胁区域中的人员撤离,并组织 人员灭火.电气设备着火时,应当首先切断其电源;在切断电源前 灭火,必须使用不导电的灭火器材进行灭火. 抢救人员和灭火过程中,必须指定专人检查甲烷、一氧化碳、 煤尘、其他有害气体浓度和风向、风量的变化,并采取防止瓦斯、煤 尘爆炸和人员中毒的安全措施.

[4] 来源：煤矿安全规程2025.pdf；片段：第五百八十三条-576；得分：0.789
第五百八十三条 在高温区、自然发火区进行爆破作业时,必 须遵守下列规定: (一)采用两种方法测试孔内温度.有明火的炮孔或者孔内温 度在８０℃以上的高温炮孔采取灭火、降温措施. (二)高温孔经降温处理合格后方可装药起爆. (三)高温孔应当采用热感度低的炸药,或者将炸药、雷管作隔 热包装. (四)根据炮孔升温速率确定装药时间和爆破孔数. (五)火区爆破必须制定专项技术措施.",,0.8571,0.6316,0.1651,0.7521,0.5,0.8571
